query	entity_list
我的属相是马	['马']
歌手李娜的代表作	['李娜']
故宫的面积有多大	['故宫']
介绍一下姚明	['姚明']
苏轼是唐朝的还是元朝的	['苏轼']
苏轼写的是赤壁怀古还是游泳	['苏轼']
总教官是什么	['总教官']
蛇是脊椎动物还是无脊椎	['蛇']
来一首冬眠	{'冬眠': 'MUSIC'}
五湖指哪里	{'五湖': 'GEOGRAPHY'}
涂鸦模板	['涂鸦']
猴子的猴子的尸体	['猴子']
搜储毅	['储毅']
中国江西的地理位置	['江西']
雪糕	['雪糕']
馒头	['馒头']
织布	['织布']
比如洋葱西红柿	['西红柿']
皮卡皮卡	['皮卡']
写字人钟在哪个殿	['写字人钟']
水星和土星哪个更大	{'水星': 'UNIVERSE', '土星': 'UNIVERSE'}
虞书欣	['虞书欣']
一念永恒	['一念永恒']
旋转木马	['旋转木马']
小英	['小英']
塔尔塔罗斯	['塔尔塔罗斯']
赛文加	['赛文加']
捷德	{'捷德': 'PEOPLE'}
鞠婧祎	{'鞠婧祎': 'PEOPLE'}
杰斯提斯奥特曼	{'奥特曼': 'PEOPLE'}
青春期一般在什么时候	['青春期']
水浒传主人公是谁	['水浒传']
小小公主的歌	['小小公主']
水仙球	['水仙']
蛇妖	['蛇妖']
VIVOX六十系列	['VIVOX六十系列']
刘德华	['刘德华']
林语堂的作品	['林语堂']
周杰伦的歌曲	['周杰伦']
梵高的代表作	['梵高']
巴金的代表作	['巴金']
搞笑的动作	['']
唐代衣	['唐代']
水立方的面积	['水立方']